time,date,AJ1440,VR2386,EBV374,TCX177,ZOZ283
13:23,23-03-2023,66291.0,160846.0,,,
13:25,23-03-2023,68559.0,177025.0,,,
13:26,23-03-2023,63944.0,158736.0,,,
13:28,23-03-2023,68556.0,163982.0,,,
13:30,23-03-2023,69184.0,170027.0,,,
13:31,23-03-2023,72904.0,184825.0,,,
13:33,23-03-2023,69696.0,186236.0,,,
13:39,23-03-2023,66004.0,177689.0,,,
13:41,23-03-2023,65704.0,174120.0,,,
13:49,23-03-2023,43709.0,69317.0,,,
13:51,23-03-2023,,74050.0,,,
15:12,23-03-2023,-17711.0,-119544.0,,,
15:16,23-03-2023,-15996.0,-150757.0,,,
15:19,23-03-2023,-12304.0,-155237.0,,,
15:36,23-03-2023,-14094.0,-148056.0,,,
10:51,27-03-2023,-30515.0,-34424.0,,,
10:52,27-03-2023,-30913.0,-36519.0,,,
10:53,27-03-2023,-31400.0,-35064.0,,,
10:54,27-03-2023,-30815.0,-37784.0,,,
10:55,27-03-2023,-30005.0,-32934.0,,,
10:56,27-03-2023,-29870.0,-32704.0,,,
10:56,27-03-2023,-29870.0,-32704.0,,,
10:57,27-03-2023,-27268.0,-35224.0,,,
11:18,27-03-2023,-33613.0,-34614.0,,,
11:19,27-03-2023,-36215.0,-33089.0,,,
11:20,27-03-2023,-33043.0,-34049.0,,,
11:21,27-03-2023,-32375.0,-31719.0,,,
11:22,27-03-2023,-33380.0,-34224.0,,,
11:23,27-03-2023,-31640.0,-31189.0,,,
11:24,27-03-2023,-31528.0,-31449.0,,,
11:25,27-03-2023,-31828.0,-34689.0,,,
11:26,27-03-2023,-31783.0,-33679.0,,,
11:27,27-03-2023,-31573.0,-33349.0,,,
11:27,27-03-2023,-31573.0,-33349.0,,,
11:28,27-03-2023,-30598.0,-32924.0,,,
11:29,27-03-2023,-32150.0,-31589.0,,,
11:30,27-03-2023,-31415.0,-30204.0,,,
11:31,27-03-2023,-31895.0,-28229.0,,,
11:32,27-03-2023,-32195.0,-35004.0,,,
11:33,27-03-2023,-30478.0,-34039.0,,,
11:34,27-03-2023,-27740.0,-33494.0,,,
11:35,27-03-2023,-26008.0,-26909.0,,,
11:36,27-03-2023,-24868.0,-26219.0,,,
11:37,27-03-2023,-26743.0,-24059.0,,,
11:38,27-03-2023,-26203.0,-23394.0,,,
11:39,27-03-2023,-25348.0,-26239.0,,,
